x0000,y0000
0.,0.
1.,0.4264687382
2.,0.2989756997
3.,0.4664847628
4.,0.2840217867
5.,0.5052222836
6.,0.534433
7.,0.2863089732
8.,0.1938763341
9.,0.6262756472
10.,0.5546678678
11.,0.6099793678
12.,0.1008588272
13.,0.3383340593
14.,0.4840722178
15.,0.1423667865
16.,0.4603914259
17.,0.6173515982
18.,0.1566798128
19.,0.3837878916
20.,0.2010759663
21.,0.2840593360
22.,0.4068688745
23.,0.2259364907
24.,0.3411171690
25.,0.3150560542
26.,0.6224663005
27.,0.4289864094
28.,0.2668848846
29.,0.5541879676
30.,0.2549126430
31.,0.1128554977
32.,0.455317996
33.,0.1984822407
34.,0.8032821156
35.,0.5975567296
36.,0.6003602305
37.,0.2726755853
38.,0.3329286850
39.,0.2464574968
40.,0.4060568401
41.,0.3588104138
42.,0.2107202063
43.,-0.0032298364
44.,0.4545104272
45.,0.2335347039
46.,0.2118280838
47.,0.5609804673
48.,0.8540552079
49.,0.4028327432
50.,0.3294527255
51.,0.5455074996
52.,0.5498402401
53.,0.3540413931
54.,0.3475934972
55.,0.437397922
56.,0.562868932
57.,0.4639207607
58.,0.2945637946
59.,0.0767056553
60.,0.2239324592
61.,0.4659459749
62.,0.349784021
63.,0.6308410398
64.,0.4901558612
65.,0.603034272
66.,0.5115551774
67.,0.2839226501
68.,0.276836972
69.,0.4205031983
70.,0.2586592179
71.,0.383444587
72.,0.5280049549
73.,0.4890523786
74.,0.5141403042
75.,0.6545611015
76.,0.5202925307
77.,0.6652861901
78.,0.5993651616
79.,0.4634527666
80.,0.3381273674
81.,0.6751199259
82.,0.479686516
83.,0.4593164852
84.,0.1150537462
85.,0.6191610005
86.,0.6379774072
87.,0.4270432776
88.,0.6452434637
89.,0.6042784743
90.,0.3685802755
91.,0.7639802789
92.,0.5563580889
93.,0.4192849404
94.,0.6872556837
95.,0.2429017869
96.,0.4047785141
97.,0.6839317047
98.,0.6470109138
99.,0.6554258257
100.,0.3132989819
101.,0.2904701605
102.,0.5408817246
103.,0.4392781026
104.,-0.0426695435
105.,0.6053459287
